time,vehicle_id,origin,destination,lane,block,arrival_time,stuck_time,active,light,type
8,0,16,10,0,0,8,0,False,none,HDV
9,1,16,8,1,0,9,0,False,none,HDV
10,0,16,10,0,1,8,0,False,none,HDV
10,1,16,8,1,1,9,0,False,none,HDV
13,2,24,21,3,0,13,0,False,none,AV
15,0,16,10,0,2,8,0,False,none,HDV
15,1,16,8,1,2,9,0,False,none,HDV
15,2,24,21,3,1,13,0,False,none,AV
18,3,4,5,1,0,18,0,False,none,HDV
20,4,1,3,3,0,20,0,False,none,AV
20,0,16,10,0,3,8,0,False,none,HDV
20,1,16,8,1,3,9,0,False,none,HDV
20,2,24,21,3,2,13,0,False,none,AV
20,3,4,5,1,1,18,0,False,none,HDV
20,4,1,3,3,1,20,0,False,none,AV
22,5,1,2,1,0,22,0,False,none,AV
23,6,16,8,2,0,23,0,False,none,HDV
25,0,16,10,0,4,8,0,False,none,HDV
25,1,16,8,1,4,9,0,False,none,HDV
25,2,24,21,3,3,13,0,False,none,AV
25,3,4,5,1,2,18,0,False,none,HDV
25,4,1,3,3,2,20,0,False,none,AV
25,5,1,2,1,1,22,0,False,none,AV
25,6,16,8,2,1,23,0,False,none,HDV
30,0,16,10,0,5,8,0,False,none,HDV
30,1,16,8,1,5,9,0,False,none,HDV
30,2,24,21,3,4,13,0,False,none,AV
30,3,4,5,1,3,18,0,False,none,HDV
30,4,1,3,3,3,20,0,False,none,AV
30,5,1,2,1,2,22,0,False,none,AV
30,6,16,8,2,2,23,0,False,none,HDV
34,7,24,21,3,0,34,0,False,none,AV
35,8,19,17,3,0,35,0,False,none,AV
35,0,16,10,0,6,8,0,False,none,HDV
35,1,16,8,1,6,9,0,False,none,HDV
35,2,24,21,3,5,13,0,False,none,AV
35,3,4,5,1,4,18,0,False,none,HDV
35,4,1,3,3,4,20,0,False,none,AV
35,5,1,2,1,3,22,0,False,none,AV
35,6,16,8,2,3,23,0,False,none,HDV
35,7,24,21,3,1,34,0,False,none,AV
35,8,19,17,3,1,35,0,False,none,AV
37,9,14,15,0,0,37,0,False,none,HDV
38,10,14,11,3,0,38,0,False,none,HDV
39,11,24,13,1,0,39,0,False,none,HDV
40,0,16,10,0,7,8,0,False,none,HDV
40,1,16,8,1,7,9,0,False,none,HDV
40,2,24,21,3,6,13,0,False,none,AV
40,3,4,5,1,5,18,0,False,none,HDV
40,4,1,3,3,5,20,0,False,none,AV
40,5,1,2,1,4,22,0,False,none,AV
40,6,16,8,2,4,23,0,False,none,HDV
40,7,24,21,3,2,34,0,False,none,AV
40,8,19,17,3,2,35,0,False,none,AV
40,9,14,15,0,1,37,0,False,none,HDV
40,10,14,11,3,1,38,0,False,none,HDV
40,11,24,13,1,1,39,0,False,none,HDV
45,0,16,10,0,8,8,0,False,none,HDV
45,1,16,8,1,8,9,0,False,none,HDV
45,2,24,21,3,7,13,0,False,none,AV
45,3,4,5,1,6,18,0,False,none,HDV
45,4,1,3,3,6,20,0,False,none,AV
45,5,1,2,1,5,22,0,False,none,AV
45,6,16,8,2,5,23,0,False,none,HDV
45,7,24,21,3,3,34,0,False,none,AV
45,8,19,17,3,3,35,0,False,none,AV
45,9,14,15,0,2,37,0,False,none,HDV
45,10,14,11,3,2,38,0,False,none,HDV
45,11,24,13,1,2,39,0,False,none,HDV
50,0,16,10,0,9,8,0,False,none,HDV
50,1,16,8,1,9,9,0,False,none,HDV
50,2,24,21,3,8,13,0,False,none,AV
50,3,4,5,1,7,18,0,False,none,HDV
50,4,1,3,3,7,20,0,False,none,AV
50,5,1,2,1,6,22,0,False,none,AV
50,6,16,8,2,6,23,0,False,none,HDV
50,7,24,21,3,4,34,0,False,none,AV
50,8,19,17,3,4,35,0,False,none,AV
50,9,14,15,0,3,37,0,False,none,HDV
50,10,14,11,3,3,38,0,False,none,HDV
50,11,24,13,1,3,39,0,False,none,HDV
55,0,16,10,0,10,8,0,False,none,HDV
55,1,16,8,1,10,9,0,False,none,HDV
55,2,24,21,3,9,13,0,False,none,AV
55,3,4,5,1,8,18,0,False,none,HDV
55,4,1,3,3,8,20,0,False,none,AV
55,5,1,2,1,7,22,0,False,none,AV
55,6,16,8,2,7,23,0,False,none,HDV
55,7,24,21,3,5,34,0,False,none,AV
55,8,19,17,3,5,35,0,False,none,AV
55,9,14,15,0,4,37,0,False,none,HDV
55,10,14,11,3,4,38,0,False,none,HDV
55,11,24,13,1,4,39,0,False,none,HDV
58,12,4,3,0,0,58,0,False,none,HDV
60,13,24,13,3,0,60,0,False,none,HDV
60,0,16,10,0,11,8,0,False,none,HDV
60,1,16,8,1,11,9,0,False,none,HDV
60,2,24,21,3,10,13,0,False,none,AV
60,3,4,5,1,9,18,0,False,none,HDV
60,4,1,3,3,9,20,0,False,none,AV
60,5,1,2,1,8,22,0,False,none,AV
60,6,16,8,2,8,23,0,False,none,HDV
60,7,24,21,3,6,34,0,False,none,AV
60,8,19,17,3,6,35,0,False,none,AV
60,9,14,15,0,5,37,0,False,none,HDV
60,10,14,11,3,5,38,0,False,none,HDV
60,11,24,13,1,5,39,0,False,none,HDV
60,12,4,3,0,1,58,0,False,none,HDV
60,13,24,13,3,1,60,0,False,none,HDV
63,14,7,18,2,0,63,0,False,none,AV
65,0,16,10,0,12,8,0,False,none,HDV
65,1,16,8,1,12,9,0,False,none,HDV
65,2,24,21,3,11,13,0,False,none,AV
65,3,4,5,0,9,18,0,False,none,HDV
65,3,4,5,0,10,18,0,False,none,HDV
65,4,1,3,3,10,20,0,False,none,AV
65,5,1,2,1,9,22,0,False,none,AV
65,6,16,8,2,9,23,0,False,none,HDV
65,7,24,21,3,7,34,0,False,none,AV
65,8,19,17,3,7,35,0,False,none,AV
65,9,14,15,0,6,37,0,False,none,HDV
65,10,14,11,3,6,38,0,False,none,HDV
65,11,24,13,1,6,39,0,False,none,HDV
65,12,4,3,0,2,58,0,False,none,HDV
65,13,24,13,3,2,60,0,False,none,HDV
65,14,7,18,2,1,63,0,False,none,AV
67,15,6,5,3,0,67,0,False,none,HDV
70,0,16,10,0,13,8,0,False,none,HDV
70,1,16,8,1,13,9,0,False,none,HDV
70,2,24,21,3,12,13,0,False,none,AV
70,3,4,5,0,11,18,0,False,none,HDV
70,4,1,3,3,11,20,0,False,none,AV
70,5,1,2,1,10,22,0,False,none,AV
70,6,16,8,2,10,23,0,False,none,HDV
70,7,24,21,3,8,34,0,False,none,AV
70,8,19,17,3,8,35,0,False,none,AV
70,9,14,15,0,7,37,0,False,none,HDV
70,10,14,11,3,7,38,0,False,none,HDV
70,11,24,13,1,7,39,0,False,none,HDV
70,12,4,3,0,3,58,0,False,none,HDV
70,13,24,13,3,3,60,0,False,none,HDV
70,14,7,18,2,2,63,0,False,none,AV
70,15,6,5,3,1,67,0,False,none,HDV
75,16,21,24,4,0,75,0,False,none,HDV
75,0,16,10,0,14,8,0,False,none,HDV
75,1,16,8,1,14,9,0,False,none,HDV
75,2,24,21,3,13,13,0,False,none,AV
75,3,4,5,0,12,18,0,False,none,HDV
